1710385162329,120.8092623,30.8068892,1.89
1710385163332,120.8092626,30.8069078,1.64
1710385164335,120.8092628,30.8069264,1.42
1710385165338,120.8092630,30.8069450,1.38
1710385166341,120.8092631,30.8069636,1.40
1710385167344,120.8092631,30.8069822,1.45
1710385168347,120.8092631,30.8070007,1.55
1710385169350,120.8092632,30.8070193,1.58
1710385170353,120.8092633,30.8070379,1.56
1710385171356,120.8092635,30.8070564,1.53
1710385172359,120.8092637,30.8070750,1.36
1710385173362,120.8092639,30.8070936,1.10
1710385174365,120.8092640,30.8071121,0.90
1710385175368,120.8092640,30.8071306,0.87
1710385176371,120.8092638,30.8071492,0.93
1710385177374,120.8092637,30.8071678,1.01
1710385178377,120.8092636,30.8071864,1.06
1710385179380,120.8092635,30.8072050,1.11
1710385180383,120.8092634,30.8072235,1.11
1710385181386,120.8092634,30.8072421,1.22
1710385182389,120.8092633,30.8072607,1.26
1710385183392,120.8092634,30.8072793,1.06
1710385184395,120.8092635,30.8072978,0.81
1710385185398,120.8092634,30.8073164,0.69
1710385186401,120.8092632,30.8073348,0.68
1710385187404,120.8092630,30.8073569,0.77
1710385188407,120.8092628,30.8073754,1.01
1710385189410,120.8092626,30.8073938,1.23
1710385190413,120.8092626,30.8074122,1.28
1710385191416,120.8092627,30.8074306,1.28
1710385192419,120.8092629,30.8074490,1.08
1710385193422,120.8092630,30.8074674,0.74
1710385194425,120.8092631,30.8074857,0.49
1710385195428,120.8092630,30.8075041,0.41
1710385196431,120.8092628,30.8075224,0.40
1710385197434,120.8092626,30.8075408,0.47
1710385198437,120.8092622,30.8075591,0.69
1710385199440,120.8092620,30.8075774,1.01
1710385200443,120.8092618,30.8075958,1.17
1710385201446,120.8092618,30.8076140,1.07
1710385202449,120.8092618,30.8076323,0.85
1710385203452,120.8092619,30.8076505,0.63
1710385204455,120.8092618,30.8076688,0.50
1710385205458,120.8092615,30.8076870,0.59
1710385206461,120.8092613,30.8077052,0.72
1710385207464,120.8092610,30.8077234,0.97
1710385208467,120.8092608,30.8077415,1.21
1710385209470,120.8092608,30.8077598,1.26
1710385210473,120.8092609,30.8077779,1.18
1710385211476,120.8092610,30.8077961,0.96
1710385212479,120.8092612,30.8078142,0.60
1710385213482,120.8092612,30.8078324,0.40
1710385214485,120.8092611,30.8078506,0.21
1710385215488,120.8092608,30.8078688,0.14
1710385216491,120.8092605,30.8078870,0.30
1710385217494,120.8092601,30.8079053,0.49
1710385218497,120.8092597,30.8079234,0.82
1710385219500,120.8092595,30.8079416,1.01
1710385220503,120.8092595,30.8079597,1.01
1710385221506,120.8092595,30.8079778,0.97
1710385222509,120.8092595,30.8079959,0.79
1710385223512,120.8092595,30.8080140,0.79
1710385224515,120.8092594,30.8080321,0.79
1710385225518,120.8092593,30.8080502,0.89
1710385226521,120.8092591,30.8080684,1.06
1710385227524,120.8092591,30.8080864,1.17
1710385228527,120.8092591,30.8081045,1.09
1710385229530,120.8092590,30.8081226,0.95
1710385230533,120.8092590,30.8081407,0.80
1710385231536,120.8092587,30.8081587,0.94
1710385232539,120.8092585,30.8081768,1.10
1710385233542,120.8092584,30.8081949,1.25
1710385234545,120.8092583,30.8082130,1.43
1710385235548,120.8092582,30.8082310,1.40
1710385236551,120.8092582,30.8082491,1.32
1710385237554,120.8092580,30.8082671,1.26
1710385238557,120.8092579,30.8082852,1.22
1710385239560,120.8092577,30.8083032,1.39
1710385240563,120.8092576,30.8083212,1.58
1710385241566,120.8092575,30.8083393,1.72
1710385242569,120.8092575,30.8083573,1.71
1710385243572,120.8092576,30.8083753,1.69
1710385244575,120.8092577,30.8083934,1.55
1710385245578,120.8092578,30.8084114,1.41
1710385246581,120.8092577,30.8084295,1.37
1710385247584,120.8092578,30.8084476,1.35
1710385248587,120.8092577,30.8084657,1.46
1710385249590,120.8092576,30.8084837,1.63
1710385250593,120.8092577,30.8085018,1.65
1710385251596,120.8092579,30.8085198,1.44
1710385252599,120.8092580,30.8085415,1.23
1710385253602,120.8092580,30.8085595,1.10
1710385254605,120.8092579,30.8085777,1.29
1710385255608,120.8092578,30.8085958,1.51
1710385256611,120.8092579,30.8086139,1.70
1710385257614,120.8092581,30.8086320,1.64
1710385258617,120.8092584,30.8086501,1.33
1710385259620,120.8092587,30.8086682,0.88
1710385260623,120.8092587,30.8086864,0.52
1710385261626,120.8092586,30.8087045,0.34
1710385262629,120.8092584,30.8087226,0.24
1710385263632,120.8092580,30.8087409,0.28
1710385264635,120.8092577,30.8087590,0.35
1710385265638,120.8092572,30.8087771,0.59
1710385266641,120.8092568,30.8087953,0.82
1710385267644,120.8092566,30.8088134,0.77
1710385268647,120.8092564,30.8088316,0.56
1710385269650,120.8092562,30.8088497,0.48
1710385270653,120.8092559,30.8088678,0.58
1710385271656,120.8092556,30.8088859,0.75
1710385272659,120.8092554,30.8089040,0.96
1710385273662,120.8092552,30.8089221,1.04
1710385274665,120.8092552,30.8089402,1.00
1710385275668,120.8092552,30.8089583,0.84
1710385276671,120.8092552,30.8089764,0.60
1710385277674,120.8092551,30.8089945,0.46
1710385278677,120.8092548,30.8090126,0.40
1710385279680,120.8092546,30.8090307,0.48
1710385280683,120.8092543,30.8090487,0.64
1710385281686,120.8092539,30.8090668,0.93
